date,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT,PX_LAST,OPEN_INT
1990-01-02,,,100.484375,,99.625,69657.0,98.40625,249885.0,,
1990-01-03,,,100.28125,,99.40625,68404.0,98.0,252487.0,,
1990-01-04,,,100.3125,,99.46875,67566.0,98.0625,244967.0,,
1990-01-05,,,100.296875,,99.4375,68180.0,97.8125,262280.0,,
1990-01-08,,,100.25,,99.3125,68418.0,97.59375,263320.0,,
1990-01-09,,,100.203125,,99.28125,67867.0,97.5,264961.0,,
1990-01-10,,,100.171875,,99.25,65324.0,97.5625,266408.0,,
1990-01-11,,,100.15625,,99.21875,66219.0,97.5625,262239.0,,
1990-01-12,,,100.015625,,98.9375,64815.0,97.0,276403.0,,
1990-01-15,,,99.78125,,98.46875,66477.0,96.59375,270104.0,,
1990-01-16,,,99.484375,,98.25,68121.0,96.3125,269886.0,,
1990-01-17,,,99.46875,,98.28125,68386.0,96.3125,268083.0,,
1990-01-18,,,98.828125,,97.5,69900.0,95.25,264868.0,,
1990-01-19,,,99.09375,,97.84375,71257.0,95.84375,263403.0,,
1990-01-22,,,99.140625,,97.8125,72319.0,95.625,262154.0,,
1990-01-23,,,99.25,,97.96875,72996.0,95.875,261887.0,,
1990-01-24,,,98.796875,,97.28125,73907.0,94.75,263303.0,,
1990-01-25,,,98.640625,,97.03125,74721.0,94.28125,262947.0,,
1990-01-26,,,98.359375,,96.53125,71700.0,93.375,267315.0,,
1990-01-29,,,98.34375,,96.5625,72359.0,93.5,257820.0,,
1990-01-30,,,98.234375,,96.40625,73196.0,93.21875,262222.0,,
1990-01-31,,,98.484375,,97.0,71169.0,94.25,259151.0,,
1990-02-01,,,98.53125,,97.125,72225.0,94.5,254437.0,,
1990-02-02,,,98.25,,96.65625,72460.0,93.84375,259351.0,,
1990-02-05,,,98.1875,,96.46875,72189.0,93.59375,249596.0,,
1990-02-06,,,98.015625,,96.21875,72496.0,93.25,242667.0,,
1990-02-07,,,97.984375,,96.25,74558.0,93.3125,246257.0,,
1990-02-08,,,98.203125,,96.625,72925.0,93.6875,251553.0,,
1990-02-09,,,98.75,,97.59375,72231.0,94.84375,250447.0,,
1990-02-12,,,98.484375,,97.09375,70069.0,94.0625,250896.0,,
1990-02-13,,,98.71875,,97.40625,69012.0,94.4375,247719.0,,
1990-02-14,,,98.671875,,97.34375,66587.0,94.34375,241718.0,,
1990-02-15,,,98.375,,96.8125,63899.0,93.6875,235365.0,,
1990-02-16,,,98.390625,,96.90625,60935.0,93.75,223292.0,,
1990-02-20,,,97.625,,95.65625,60811.0,92.0625,222970.0,,
1990-02-21,,,97.609375,,95.6875,55185.0,92.09375,204979.0,,
1990-02-22,,,97.8125,,96.21875,53849.0,93.125,204735.0,,
1990-02-23,,,97.9375,,96.1875,50197.0,93.0625,180205.0,,
1990-02-26,,,98.1875,,96.6875,43757.0,93.75,161971.0,,
1990-02-27,,,98.40625,,97.0625,37952.0,94.1875,138028.0,,
1990-02-28,,,98.0,,96.40625,36645.0,93.3125,118694.0,,
1990-03-01,,,97.640625,,95.9375,33191.0,92.65625,90150.0,,
1990-03-02,,,97.734375,,96.1875,28426.0,93.125,75805.0,,
1990-03-05,,,97.328125,,95.46875,26544.0,92.03125,73426.0,,
1990-03-06,,,97.515625,,95.84375,24580.0,92.75,69646.0,,
1990-03-07,,,97.578125,,95.90625,23759.0,92.8125,67175.0,,
1990-03-08,,,97.578125,,96.03125,20990.0,93.03125,61695.0,,
1990-03-09,,,97.078125,,95.5,17325.0,92.03125,49386.0,,
1990-03-12,,,97.125,,95.625,15294.0,92.375,43500.0,,
1990-03-13,,,96.796875,,95.0625,14709.0,91.4375,33496.0,,
1990-03-14,,,97.140625,,95.625,14486.0,92.53125,28920.0,,
1990-03-15,,,97.0625,,95.5,13770.0,92.40625,27510.0,,
1990-03-16,,,97.390625,,96.0,12280.0,93.0625,23136.0,,
1990-03-19,,,97.296875,,96.0,11854.0,93.125,18899.0,,
1990-03-20,,,97.421875,,96.375,8614.0,93.90625,13160.0,,
1990-03-21,,,97.34375,,96.25,6116.0,93.71875,8949.0,,
1990-03-22,,,97.609375,,96.1875,66527.0,93.28125,254979.0,,
1990-03-23,,,97.75,,96.3125,66136.0,93.375,254751.0,,
1990-03-26,,,97.78125,,96.4375,66276.0,93.59375,247346.0,,
1990-03-27,,,97.6875,,96.3125,66718.0,93.5,247845.0,,
1990-03-28,,,97.75,,96.4375,68148.0,93.65625,248328.0,,
1990-03-29,,,97.453125,,95.84375,68168.0,92.625,241595.0,,
1990-03-30,,,97.171875,,95.4375,70079.0,91.875,242015.0,,
1990-04-02,,,97.25,,95.5,68559.0,91.90625,235896.0,,
1990-04-03,,,97.3125,,95.625,69000.0,92.1875,230342.0,,
1990-04-04,,,97.6875,,96.28125,70714.0,93.3125,234371.0,,
1990-04-05,,,97.625,,96.1875,70784.0,93.15625,230987.0,,
1990-04-06,,,97.65625,,96.1875,71184.0,93.09375,231485.0,,
1990-04-09,,,97.53125,,95.9375,70708.0,92.90625,225298.0,,
1990-04-10,,,97.5,,95.875,71453.0,92.8125,228485.0,,
1990-04-11,,,97.421875,,95.71875,71834.0,92.71875,235130.0,,
1990-04-12,,,97.3125,,95.59375,71639.0,92.53125,235566.0,,
1990-04-16,,,97.265625,,95.40625,72374.0,92.09375,234091.0,,
1990-04-17,,,96.9375,,94.875,72812.0,91.15625,247701.0,,
1990-04-18,,,96.5625,,94.25,74862.0,90.1875,256933.0,,
1990-04-19,,,96.578125,,94.21875,76578.0,90.15625,248717.0,,
1990-04-20,,,96.4375,,93.75,76922.0,89.53125,251330.0,,
1990-04-23,,,96.328125,,93.59375,77458.0,89.25,244924.0,,
1990-04-24,,,96.140625,,93.46875,79223.0,89.125,248223.0,,
1990-04-25,,,95.984375,,93.46875,77983.0,89.1875,250425.0,,
1990-04-26,,,95.671875,,93.125,79246.0,88.59375,262456.0,,
1990-04-27,,,95.78125,,93.15625,77697.0,88.59375,258731.0,,
1990-04-30,,,95.859375,,93.25,76940.0,88.8125,247949.0,,
1990-05-01,,,95.6875,,93.09375,77598.0,88.71875,257897.0,,
1990-05-02,,,95.625,,93.03125,76836.0,88.6875,255088.0,,
1990-05-03,,,95.84375,,93.25,75704.0,89.125,248687.0,,
1990-05-04,,,96.765625,,94.5625,73804.0,90.71875,258022.0,,
1990-05-07,,,96.625,,94.34375,74085.0,90.40625,246483.0,,
1990-05-08,,,96.8125,,94.59375,70864.0,90.78125,250606.0,,
1990-05-09,,,96.515625,,94.0,69078.0,89.96875,245332.0,,
1990-05-10,,,96.796875,,94.5625,65461.0,90.625,250145.0,,
1990-05-11,,,97.421875,,95.625,64406.0,92.1875,247005.0,,
1990-05-14,,,97.609375,,95.84375,65034.0,92.8125,231861.0,,
1990-05-15,,,97.421875,,95.53125,64480.0,92.40625,229230.0,,
1990-05-16,,,97.34375,,95.40625,60980.0,92.21875,229144.0,,
1990-05-17,,,97.234375,,95.3125,58648.0,92.125,219004.0,,
1990-05-18,,,96.984375,,94.96875,61362.0,91.6875,204573.0,,
1990-05-21,,,97.03125,,95.0,54761.0,91.78125,194756.0,,
1990-05-22,,,97.390625,,95.625,52959.0,92.5625,195522.0,,
1990-05-23,,,97.578125,,95.8125,50939.0,92.71875,194177.0,,
1990-05-24,,,97.546875,,95.75,44587.0,92.65625,168939.0,,
1990-05-25,,,97.296875,,95.3125,41363.0,91.96875,158046.0,,
1990-05-29,,,97.4375,,95.5625,35755.0,92.3125,149344.0,,
1990-05-30,,,97.53125,,95.8125,29170.0,92.6875,119229.0,,
1990-05-31,,,97.5625,,95.9375,25980.0,92.90625,99178.0,,
1990-06-01,,,98.28125,,96.9375,19326.0,94.375,83835.0,,
1990-06-04,,,98.265625,,96.96875,16755.0,94.4375,69565.0,,
1990-06-05,,,98.109375,,96.71875,16363.0,94.03125,66318.0,,
1990-06-06,,,98.09375,,96.75,12372.0,94.1875,50778.0,,
1990-06-07,,,98.125,,96.75,10469.0,94.3125,45935.0,,
1990-06-08,,,98.125,,96.75,9214.0,94.25,45006.0,,
1990-06-11,,,98.0625,,96.6875,7758.0,94.125,42441.0,,
1990-06-12,,,98.03125,,96.65625,7653.0,94.09375,39250.0,,
1990-06-13,,,98.40625,,97.15625,7565.0,94.75,37728.0,,
1990-06-14,,,98.546875,,97.375,7385.0,94.96875,34403.0,,
1990-06-15,,,98.15625,,96.8125,7166.0,94.3125,26491.0,,
1990-06-18,,,97.953125,,96.53125,6943.0,93.90625,24213.0,,
1990-06-19,,,97.9375,,96.5,5888.0,93.9375,19821.0,,
1990-06-20,,,97.828125,,96.28125,3711.0,93.59375,17472.0,,
1990-06-21,,,97.984375,,96.34375,72887.0,93.4375,222174.0,,
1990-06-22,,,98.015625,,96.40625,72846.0,93.46875,217491.0,,
1990-06-25,99.1328125,,97.75,,95.84375,72238.0,92.78125,218716.0,,
1990-06-26,99.140625,,97.875,,96.125,71813.0,93.15625,220324.0,,
1990-06-27,99.2265625,,98.046875,,96.34375,70810.0,93.46875,221386.0,,
